leagues,outcomes,edge_min,sel_n,sel_roi,hld_n,hld_roi,hld_win,hld_per_season
E0+E1+F1+I1,draw,0.1,973,0.00013923453188266418,379,0.15159213425897694,0.2928759894459103,54.142857142857146
B1+F1+I1+T1,draw,0.1,792,0.0062546703738764415,461,0.15133871462434106,0.3080260303687636,65.85714285714286
G1+N1+P1+T1,away,0.15,416,-0.08647215122316544,295,0.15091272172081516,0.5864406779661017,42.142857142857146
G1+I1+P1,away,0.12,539,-0.030663709199834757,470,0.14932889369214955,0.5957446808510638,67.14285714285714
E1+F1+G1+T1,draw,0.1,806,0.059231836202852675,434,0.149166850603418,0.31105990783410137,62.0
E0+E1+SC0+T1,home,0.15,757,0.011723037648059677,346,0.14868546612355843,0.6676300578034682,49.42857142857143
E0+E1+N1+T1,home,0.15,791,0.04511158809462609,309,0.14802862511389145,0.6763754045307443,44.142857142857146
E1+G1+I1+T1,draw,0.12,432,0.04848810892817391,330,0.1479175470196537,0.32727272727272727,47.142857142857146
D1+I1+SP1+T1,draw,0.12,458,-0.16757051730523012,346,0.14784042539793776,0.3092485549132948,49.42857142857143
D1+I1+SC0+T1,draw,0.12,450,-0.12554706127853285,330,0.14685349715926885,0.3,47.142857142857146
D1+F1+G1+T1,draw,0.12,442,-0.036966908696611865,305,0.14656255998930665,0.30491803278688523,43.57142857142857
B1+G1+P1,away,0.12,442,-0.05852839660361418,432,0.14625978981531707,0.5416666666666666,61.714285714285715
E1+G1+I1+T1,draw,0.1,747,0.03912685705214186,544,0.1462460816797553,0.31985294117647056,77.71428571428571
E0+I1+T1,draw,0.1,654,-0.0319437851428151,371,0.14610203743530045,0.30997304582210244,53.0
E0+I1+SP1+T1,draw,0.12,487,-0.14279707723484697,286,0.14526742408261525,0.32167832167832167,40.857142857142854
B1+F1+I1,draw,0.1,618,-0.007662705550026236,316,0.14430208619198306,0.30063291139240506,45.142857142857146
G1+P1+T1,away,0.12,532,-0.04414777812137354,464,0.14405756928965643,0.5560344827586207,66.28571428571429
F1+I1,draw,0.08,721,-0.058725194634959316,413,0.1436430419638793,0.2857142857142857,59.0
F1+I1,draw,0.05,721,-0.058725194634959316,413,0.1436430419638793,0.2857142857142857,59.0
D1+F1+G1+I1,draw,0.1,798,-0.0737293856924561,503,0.14350974591604806,0.2962226640159046,71.85714285714286
I1+T1,draw,0.08,570,-0.05295667764650594,538,0.14291783001371808,0.30855018587360594,76.85714285714286
I1+T1,draw,0.05,570,-0.05295667764650594,538,0.14291783001371808,0.30855018587360594,76.85714285714286
F1+I1+T1,draw,0.08,988,-0.030616439699916728,673,0.14284834129065171,0.29420505200594355,96.14285714285714
F1+I1+T1,draw,0.05,988,-0.030616439699916728,673,0.14284834129065171,0.29420505200594355,96.14285714285714
D1+E0+G1+I1,draw,0.12,489,-0.12570816126658,284,0.1428033867971783,0.30633802816901406,40.57142857142857
G1+I1,draw+away,0.12,533,-0.07248241768353766,461,0.14258555850451562,0.49891540130151846,65.85714285714286
G1+N1+P1,away,0.12,473,-0.05518933493119227,367,0.14256985145109444,0.5504087193460491,52.42857142857143
D1+E1+F1+I1,draw,0.1,894,-0.04170350478108359,457,0.14256868588759333,0.28227571115973743,65.28571428571429
F1+T1,draw,0.05,685,0.01784959319875687,395,0.14195778922098887,0.28354430379746837,56.42857142857143
F1+T1,draw,0.08,685,0.01784959319875687,395,0.14195778922098887,0.28354430379746837,56.42857142857143
D1+E1+F1+T1,draw,0.12,512,0.006734581338451,287,0.14171987949615117,0.289198606271777,41.0
E0+G1+T1,home+draw,0.15,882,0.03949376140724611,384,0.14168316087633243,0.6145833333333334,54.857142857142854
D1+E0+P1+T1,all,0.2,644,0.04204154453613583,288,0.1416804398376273,0.5694444444444444,41.142857142857146
G1+I1+SP1+T1,draw,0.12,394,-0.11393836941356915,348,0.14166986101852547,0.33045977011494254,49.714285714285715
G1+P1+T1,draw+away,0.15,479,-0.05056806389099122,390,0.1415862300390753,0.517948717948718,55.714285714285715
G1+I1+P1,draw+away,0.15,496,-0.04965228826949836,346,0.141542060700743,0.5375722543352601,49.42857142857143
E1+F1+G1,draw,0.1,632,0.06014713117355485,289,0.14141325359567528,0.3044982698961938,41.285714285714285
E0+P1+SC0,all,0.18,644,0.04579798323560401,310,0.14132741296883716,0.6225806451612903,44.285714285714285
F1+G1+I1+SC0,draw,0.1,760,-0.06209694130827625,480,0.140991614829576,0.30625,68.57142857142857
E0+P1+T1,home,0.15,752,0.05582404394252947,325,0.14058811150183878,0.7138461538461538,46.42857142857143
G1+I1+SC0+T1,draw,0.12,386,-0.05851045041103313,332,0.14033354861550668,0.32228915662650603,47.42857142857143
E0+E1+P1,home,0.15,613,0.075708399057888,289,0.1402616217551858,0.7231833910034602,41.285714285714285
E0+E1+P1+T1,home,0.15,845,0.05486320633699528,414,0.14021677698318818,0.7125603864734299,59.142857142857146
E0+E1+G1+T1,home,0.15,824,0.05313316020185122,361,0.14020863413792314,0.7202216066481995,51.57142857142857
E0+SC0+T1,home+draw,0.15,830,-0.005447674503965488,349,0.13999005019781915,0.5616045845272206,49.857142857142854
E1+F1+I1+SC0,draw,0.1,856,-0.028640103685045652,434,0.13972975242617972,0.2926267281105991,62.0
D1+F1+T1,draw,0.1,634,-0.06275541558341691,339,0.13952712915821663,0.27728613569321536,48.42857142857143
E1+G1+I1,draw,0.1,573,0.034227317484283086,399,0.1392776260840813,0.3182957393483709,57.0
I1+P1,away,0.12,430,0.003768340576493474,340,0.13822320140258962,0.6088235294117647,48.57142857142857
D1+P1,away,0.12,411,0.048556984738113824,282,0.13812770590704812,0.5212765957446809,40.285714285714285
D1+I1+T1,draw,0.1,575,-0.09756689621210757,449,0.138072098706016,0.2962138084632517,64.14285714285714
G1+P1,away,0.1,436,-0.0018952162987169207,432,0.13762571419326805,0.5439814814814815,61.714285714285715
F1+G1+I1+N1,draw,0.1,773,-0.03202845112950216,464,0.13740034020342812,0.2974137931034483,66.28571428571429
E0+G1+P1,all,0.18,656,0.0718729091288506,331,0.13738216923786178,0.6465256797583081,47.285714285714285
E1+I1+SP1+T1,draw,0.12,464,-0.04933878505797615,330,0.13686834251402977,0.3181818181818182,47.142857142857146
E0+N1+P1+SC0,all,0.18,814,0.03265260461462199,352,0.13618930884165004,0.5994318181818182,50.285714285714285
E0+E1+G1+T1,home+draw,0.15,1059,0.04627662943321533,531,0.13602941285481857,0.5951035781544256,75.85714285714286
E1+F1+I1+T1,draw,0.08,1375,0.008391003123226775,806,0.13590149187375042,0.29280397022332505,115.14285714285714
E1+F1+I1+T1,draw,0.05,1375,0.008391003123226775,806,0.13590149187375042,0.29280397022332505,115.14285714285714
E1+F1+I1+N1,draw,0.1,869,-0.0035362799261452115,418,0.13581871567947248,0.2822966507177033,59.714285714285715
E0+I1+T1,home+draw,0.15,965,-0.010222827247554621,290,0.13574071182962796,0.593103448275862,41.42857142857143
G1+N1+P1,draw+away,0.15,424,-0.07170852007607734,303,0.1356877081536319,0.4884488448844885,43.285714285714285
D1+E1+G1+I1,draw,0.12,466,-0.0370825363262101,328,0.13528749753216346,0.3048780487804878,46.857142857142854
E1+I1+SC0+T1,draw,0.12,456,-0.002575078496380555,314,0.13525779020302145,0.3089171974522293,44.857142857142854
D1+E0+T1,home+draw,0.15,941,-0.009013404524912179,327,0.13519290584681648,0.5198776758409785,46.714285714285715
N1+P1+SC0,all,0.18,555,0.03465199242865324,294,0.1351856738754352,0.6190476190476191,42.0
F1+SC0+T1,draw,0.1,596,-0.04635059464011408,316,0.13513777081941586,0.2911392405063291,45.142857142857146
D1+F1+SP1+T1,draw,0.12,474,-0.12473626051378518,305,0.1350723482763674,0.29508196721311475,43.57142857142857
E1+I1+T1,draw,0.08,957,0.011361196296861125,671,0.1347608409264678,0.30402384500745155,95.85714285714286
E1+I1+T1,draw,0.05,957,0.011361196296861125,671,0.1347608409264678,0.30402384500745155,95.85714285714286
E1+T1,home+draw,0.15,461,0.03102617891755761,318,0.13475401683346047,0.5754716981132075,45.42857142857143
I1+SC0+T1,draw,0.1,537,-0.08524093267749387,426,0.13453802361835296,0.3075117370892019,60.857142857142854
E0+N1+SC0+T1,home,0.15,829,0.02674790569376476,304,0.13452692047117978,0.6414473684210527,43.42857142857143
E1+F1+G1+T1,draw,0.12,448,0.09032502670726097,289,0.1343640613412138,0.314878892733564,41.285714285714285
G1+T1,draw,0.1,313,0.05934210757440326,281,0.13421642710203102,0.3274021352313167,40.142857142857146
D1+G1+P1,draw+away,0.15,479,-0.09124578505937833,351,0.13414197206330433,0.46153846153846156,50.142857142857146
E0+E1+SC0+T1,home+draw,0.15,1007,0.008121407001123645,496,0.13376465562385084,0.5564516129032258,70.85714285714286
E0+F1+G1+T1,draw,0.1,852,0.008035462475592337,397,0.1336967056770025,0.3047858942065491,56.714285714285715
E0+N1+T1,home+draw,0.15,881,0.029167096322694028,319,0.13364368268683322,0.54858934169279,45.57142857142857
E0+G1+I1+T1,draw,0.1,793,-0.015321653896369521,507,0.13348830768044426,0.3155818540433925,72.42857142857143
D1+F1+SC0+T1,draw,0.12,466,-0.08216513436374714,289,0.13330855295230454,0.2837370242214533,41.285714285714285
