seed,params,F1+I1+T1 draw≥0.10,F1+I1+T1 draw≥0.10_n,F1+G1+I1 draw≥0.10,F1+G1+I1 draw≥0.10_n,I1+T1 draw≥0.10,I1+T1 draw≥0.10_n,G1+P1 away≥0.12,G1+P1 away≥0.12_n,D1+P1 home+draw≥0.18,D1+P1 home+draw≥0.18_n
42,"{'n_estimators': 396, 'max_depth': 3, 'learning_rate': 0.014368017307047974, 'subsample': 0.7083871449554294, 'colsample_bytree': 0.7337491519735901, 'min_child_weight': 6, 'reg_alpha': 0.7204782257635005, 'reg_lambda': 0.14046203001818663}",0.14641636091083982,388,0.06042348556955694,360,0.10465978433343211,343,0.13678506332581028,316,0.1303162586090865,125
7,"{'n_estimators': 781, 'max_depth': 3, 'learning_rate': 0.012656233804159948, 'subsample': 0.6687882489765998, 'colsample_bytree': 0.5583854886388008, 'min_child_weight': 3, 'reg_alpha': 0.7873163407205505, 'reg_lambda': 1.3699970370696346}",0.0888468609938944,441,0.13142771654196037,459,0.05410241588818857,367,0.12094855796531963,329,0.14388311301534487,154
13,"{'n_estimators': 443, 'max_depth': 4, 'learning_rate': 0.01613647927444202, 'subsample': 0.7377256753081708, 'colsample_bytree': 0.6786705459662117, 'min_child_weight': 5, 'reg_alpha': 0.1024585301116937, 'reg_lambda': 1.9663686218238996}",-0.022868301812440154,439,0.018136295920241324,439,-0.035493362435204644,355,0.1351104977650691,311,0.13412899956679922,153
99,"{'n_estimators': 348, 'max_depth': 4, 'learning_rate': 0.02234101792847431, 'subsample': 0.70391274741053, 'colsample_bytree': 0.7989542762224151, 'min_child_weight': 8, 'reg_alpha': 0.5969905868555869, 'reg_lambda': 0.5391635630051501}",0.06669409422537316,465,0.0263921670369619,461,0.10386754953418732,358,0.13067350549378628,308,0.059741268111763626,161
2025,"{'n_estimators': 382, 'max_depth': 4, 'learning_rate': 0.016297508647603196, 'subsample': 0.6058495781634666, 'colsample_bytree': 0.9864410711967071, 'min_child_weight': 4, 'reg_alpha': 0.8159318037696435, 'reg_lambda': 1.4228691627760361}",0.1239948273058812,419,0.14952372887809778,377,0.13126175120728797,345,0.18558524863653683,327,0.1003107859044691,172
