leagues,outcomes,edge_min,model_prob_min,n_bets,roi,win_rate
E0,all,0.25,0.4,57,0.20732786479086496,0.5263157894736842
B1+P1,all,0.25,0.4,129,0.20470423031027948,0.627906976744186
B1+D1+E0+P1,away,0.25,0.45,46,0.2045881690251699,0.6304347826086957
D1+E1,home,0.25,0.45,46,0.20401459123896432,0.717391304347826
B1,draw,0.2,0.45,39,0.20371867219550305,0.3333333333333333
B1+D1+E0+P1,all,0.25,0.35,268,0.20146039680263977,0.5261194029850746
B1+D1+E0+P1,all,0.25,0.0,268,0.20146039680263977,0.5261194029850746
SP1,all,0.2,0.45,131,0.2012960752058865,0.5648854961832062
B1+D1+E0+E1,home,0.25,0.4,113,0.2008064460772275,0.7256637168141593
B1+D1+E0+P1,draw+away,0.25,0.45,152,0.19765378046999793,0.4276315789473684
B1+P1,all,0.25,0.35,131,0.1962645507588016,0.6183206106870229
B1+P1,all,0.25,0.0,131,0.1962645507588016,0.6183206106870229
B1+D1+E0+E1,all,0.25,0.0,281,0.19606086174978377,0.5373665480427047
B1+D1+E0+E1,all,0.25,0.35,281,0.19606086174978377,0.5373665480427047
B1+P1,away,0.2,0.45,104,0.19605298813453617,0.6153846153846154
D1,draw,0.15,0.35,140,0.19418392770652496,0.32857142857142857
B1+D1+E0+P1,draw,0.25,0.45,106,0.1937294040094406,0.33962264150943394
B1+P1,draw+away,0.2,0.35,176,0.19356079489497108,0.5
B1+P1,draw+away,0.2,0.0,176,0.19356079489497108,0.5
D1,all,0.2,0.35,168,0.19321823159731238,0.4226190476190476
D1+E1,home,0.25,0.4,47,0.193102149333936,0.7021276595744681
SP1,draw+away,0.2,0.0,95,0.19284389484758782,0.4631578947368421
B1+D1+E0+P1,away,0.25,0.4,47,0.19160011349456268,0.6170212765957447
D1+E0+E1+N1,all,0.25,0.0,251,0.19141273885457202,0.4820717131474104
D1+E0+E1+N1,all,0.25,0.35,251,0.19141273885457202,0.4820717131474104
D1+E0+SP1,draw+away,0.25,0.45,140,0.19050507607130931,0.40714285714285714
D1+E1,draw,0.25,0.0,77,0.19040116317697975,0.35064935064935066
D1+E1,draw,0.25,0.35,77,0.19040116317697975,0.35064935064935066
D1+E1,draw,0.25,0.4,77,0.19040116317697975,0.35064935064935066
D1+E1,draw,0.25,0.45,77,0.19040116317697975,0.35064935064935066
D1,all,0.2,0.0,175,0.19028653661741596,0.4114285714285714
B1+P1,away,0.2,0.4,105,0.1891413713151032,0.6095238095238096
B1+D1+E0+P1,draw+away,0.25,0.4,154,0.18801121805712045,0.42207792207792205
B1+D1+E0+P1,draw,0.2,0.35,193,0.18749809910381526,0.3316062176165803
D1+E0,draw,0.2,0.45,121,0.18660611703080401,0.3305785123966942
D1+E1,draw,0.2,0.45,137,0.1861946211824149,0.34306569343065696
B1+D1+E0+P1,draw,0.25,0.4,107,0.18597136134296297,0.3364485981308411
D1+E0+SP1,draw+away,0.25,0.4,141,0.18517122100028854,0.40425531914893614
E0+E1,all,0.25,0.45,129,0.1850444591799998,0.5813953488372093
D1,draw,0.25,0.0,58,0.184952010340122,0.3448275862068966
D1,draw,0.25,0.35,58,0.184952010340122,0.3448275862068966
D1,draw,0.25,0.45,58,0.184952010340122,0.3448275862068966
D1,draw,0.25,0.4,58,0.184952010340122,0.3448275862068966
P1,draw,0.15,0.45,59,0.18486530451427324,0.3389830508474576
D1+E0+SP1,all,0.25,0.4,187,0.18344512885853725,0.44385026737967914
D1+E0+E1,all,0.25,0.4,206,0.18235953291851464,0.5048543689320388
E1,draw+away,0.25,0.35,38,0.18167167442999768,0.5
E1,draw+away,0.25,0.4,38,0.18167167442999768,0.5
E1,draw+away,0.25,0.45,38,0.18167167442999768,0.5
E1,draw+away,0.25,0.0,38,0.18167167442999768,0.5
D1,draw+away,0.2,0.4,107,0.1811514152914558,0.37383177570093457
P1,draw,0.1,0.45,62,0.18108891220742535,0.3387096774193548
P1,draw,0.08,0.45,62,0.18108891220742535,0.3387096774193548
P1,all,0.2,0.45,205,0.18050190684393644,0.6390243902439025
D1+E0,draw,0.2,0.4,122,0.18037476472756442,0.32786885245901637
D1+E0+SP1,draw+away,0.25,0.0,142,0.18027762992181892,0.4014084507042254
D1+E0+SP1,draw+away,0.25,0.35,142,0.18027762992181892,0.4014084507042254
B1+D1+E0+P1,all,0.25,0.4,262,0.18002179449284347,0.5305343511450382
D1+E0+SP1,home,0.25,0.4,46,0.17947978285733734,0.5652173913043478
B1+D1+E0+P1,away,0.25,0.0,48,0.17947686392174647,0.6041666666666666
B1+D1+E0+P1,away,0.25,0.35,48,0.17947686392174647,0.6041666666666666
D1,draw,0.1,0.4,152,0.17943255707754927,0.3223684210526316
D1,draw,0.08,0.4,152,0.17943255707754927,0.3223684210526316
D1+E0,home,0.2,0.0,168,0.1780305093715931,0.5476190476190477
B1+P1,away,0.2,0.35,107,0.17784527357015542,0.5981308411214953
B1+P1,away,0.2,0.0,107,0.17784527357015542,0.5981308411214953
D1+E0+E1,draw,0.25,0.35,97,0.17742974114173182,0.3402061855670103
D1+E0+E1,draw,0.25,0.0,97,0.17742974114173182,0.3402061855670103
D1+E0+E1,draw,0.25,0.45,97,0.17742974114173182,0.3402061855670103
D1+E0+E1,draw,0.25,0.4,97,0.17742974114173182,0.3402061855670103
D1+E1,all,0.25,0.45,148,0.1768994320152942,0.5
B1+D1+E0+P1,draw,0.2,0.0,196,0.1760154413145556,0.32653061224489793
B1,draw+away,0.2,0.45,82,0.17558699524521817,0.47560975609756095
B1+P1,draw,0.15,0.45,112,0.1754100230510943,0.33035714285714285
B1+P1,draw,0.25,0.35,31,0.17509790957788712,0.3225806451612903
B1+P1,draw,0.25,0.0,31,0.17509790957788712,0.3225806451612903
B1+D1+E0+P1,draw+away,0.25,0.35,157,0.17445500550686216,0.4140127388535032
B1+D1+E0+P1,draw+away,0.25,0.0,157,0.17445500550686216,0.4140127388535032
D1+E1,home,0.2,0.35,122,0.17444407567813297,0.6065573770491803
P1,home,0.25,0.0,30,0.17431820080711227,0.6333333333333333
P1,home,0.25,0.35,30,0.17431820080711227,0.6333333333333333
P1,home,0.25,0.4,30,0.17431820080711227,0.6333333333333333
P1,home,0.25,0.45,30,0.17431820080711227,0.6333333333333333
B1+D1+E0+E1,all,0.25,0.4,276,0.17413486178168486,0.5398550724637681
D1+E1,draw,0.2,0.4,139,0.17380304473253344,0.3381294964028777
B1+P1,draw,0.08,0.45,115,0.17363805371294244,0.33043478260869563
B1+P1,draw,0.1,0.45,115,0.17363805371294244,0.33043478260869563
D1+E1,all,0.25,0.4,149,0.17260034702748786,0.4966442953020134
B1+D1+E0+P1,home,0.25,0.4,108,0.1724710572286888,0.6851851851851852
B1+D1+E0+E1,home,0.25,0.45,111,0.17233540842158948,0.7297297297297297
B1+D1+E0+P1,draw,0.25,0.35,109,0.1716062713919556,0.3302752293577982
B1+D1+E0+P1,draw,0.25,0.0,109,0.1716062713919556,0.3302752293577982
D1+E0,draw,0.25,0.0,78,0.17030334759565813,0.3333333333333333
D1+E0,draw,0.25,0.35,78,0.17030334759565813,0.3333333333333333
D1+E0,draw,0.25,0.4,78,0.17030334759565813,0.3333333333333333
D1+E0,draw,0.25,0.45,78,0.17030334759565813,0.3333333333333333
P1,all,0.2,0.4,209,0.16977555579024062,0.6267942583732058
D1,all,0.2,0.4,156,0.1692501359315189,0.4423076923076923
D1+E0+SP1,all,0.25,0.45,182,0.16876055615804492,0.45054945054945056
B1+D1+E0+P1,all,0.25,0.45,258,0.16855812615148918,0.5348837209302325
D1+E0,home,0.2,0.35,157,0.167931503186814,0.5732484076433121
D1+E0,draw,0.2,0.35,124,0.16775563558582746,0.3225806451612903
SP1,all,0.2,0.4,138,0.1670787853310662,0.5362318840579711
B1,draw,0.15,0.45,53,0.16578769727610254,0.32075471698113206
B1,draw,0.1,0.45,53,0.16578769727610254,0.32075471698113206
B1,draw,0.08,0.45,53,0.16578769727610254,0.32075471698113206
B1+D1+E0+E1,draw,0.25,0.4,112,0.16487051613313417,0.33035714285714285
B1+D1+E0+E1,draw,0.25,0.45,112,0.16487051613313417,0.33035714285714285
D1+E1,home,0.2,0.0,131,0.16446700370393366,0.5725190839694656
E0+E1,draw,0.25,0.35,39,0.16435335728621062,0.3333333333333333
E0+E1,draw,0.25,0.0,39,0.16435335728621062,0.3333333333333333
E0+E1,draw,0.25,0.45,39,0.16435335728621062,0.3333333333333333
E0+E1,draw,0.25,0.4,39,0.16435335728621062,0.3333333333333333
P1,all,0.2,0.0,211,0.16426709246571675,0.6208530805687204
P1,all,0.2,0.35,211,0.16426709246571675,0.6208530805687204
D1,draw+away,0.2,0.45,105,0.16391079389469027,0.37142857142857144
D1+E1,draw,0.2,0.35,141,0.1624732206986752,0.3333333333333333
D1+E1,draw,0.2,0.0,141,0.1624732206986752,0.3333333333333333
D1+E0+E1+N1,all,0.25,0.4,247,0.16236374316802266,0.4817813765182186
D1+E0+E1,all,0.25,0.45,204,0.16148316967453355,0.5049019607843137
B1+D1+E0+E1,all,0.25,0.45,273,0.16140968007659381,0.5421245421245421
B1,all,0.25,0.45,69,0.16123269207104196,0.6521739130434783
P1,away,0.15,0.35,204,0.15984420942828698,0.5882352941176471
D1+E1,draw+away,0.25,0.4,102,0.15875855986894116,0.4019607843137255
D1+E1,draw+away,0.25,0.45,102,0.15875855986894116,0.4019607843137255
B1+D1+E0+E1,draw,0.25,0.0,113,0.15837773259050836,0.3274336283185841
B1+D1+E0+E1,draw,0.25,0.35,113,0.15837773259050836,0.3274336283185841
B1,away,0.2,0.45,43,0.1574105057738638,0.6046511627906976
B1+D1+E0+E1,draw,0.2,0.45,216,0.1549456572774772,0.32407407407407407
B1,all,0.25,0.4,70,0.1543359294535837,0.6428571428571429
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,away,0.25,0.4,193,0.1536991492169497,0.5647668393782384
D1+E0+E1,home,0.2,0.0,236,0.15350199988672575,0.5720338983050848
D1+E1,draw+away,0.25,0.35,103,0.15244340024683262,0.39805825242718446
D1+E1,draw+away,0.25,0.0,103,0.15244340024683262,0.39805825242718446
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,away,0.25,0.45,189,0.15136512028179533,0.5714285714285714
D1+E0,all,0.25,0.4,133,0.15123197108212405,0.43609022556390975
D1+E0,draw,0.2,0.0,127,0.15092721750045499,0.31496062992125984
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,away,0.25,0.35,194,0.1507940721021615,0.5618556701030928
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,away,0.25,0.0,194,0.1507940721021615,0.5618556701030928
D1+E0+E1,home,0.2,0.35,223,0.15045048584245097,0.5964125560538116
SP1,home,0.2,0.45,42,0.1503631629371874,0.7142857142857143
B1+D1+E0+E1,draw+away,0.25,0.45,162,0.14978085769617108,0.41358024691358025
B1+P1,all,0.2,0.45,405,0.14942047837845038,0.6345679012345679
D1+E0,draw,0.15,0.0,264,0.14938948215420175,0.2916666666666667
D1,draw+away,0.2,0.35,112,0.14861250228010853,0.35714285714285715
D1,draw+away,0.2,0.0,112,0.14861250228010853,0.35714285714285715
D1,home,0.2,0.4,49,0.14797608087048966,0.5918367346938775
B1,all,0.25,0.0,71,0.1478531160723478,0.6338028169014085
B1,all,0.25,0.35,71,0.1478531160723478,0.6338028169014085
D1+E0+E1+N1,all,0.25,0.45,244,0.14712882021912752,0.48360655737704916
SP1,all,0.2,0.35,148,0.14592924278159275,0.5067567567567568
B1+D1+E0+E1,draw+away,0.25,0.4,163,0.14563513600633163,0.4110429447852761
D1+E0+E1,draw,0.2,0.45,177,0.14500358432646604,0.3220338983050847
B1+D1+E0+P1,draw,0.15,0.45,296,0.143498258599643,0.31756756756756754
B1+D1+E0+P1,draw,0.1,0.45,299,0.14306774871401345,0.3177257525083612
B1+D1+E0+P1,draw,0.08,0.45,299,0.14306774871401345,0.3177257525083612
D1,draw+away,0.25,0.4,64,0.14295478739545203,0.34375
D1,draw+away,0.25,0.45,64,0.14295478739545203,0.34375
B1+P1,home,0.25,0.0,74,0.14183127333232204,0.7027027027027027
B1+P1,home,0.25,0.4,74,0.14183127333232204,0.7027027027027027
B1+P1,home,0.25,0.45,74,0.14183127333232204,0.7027027027027027
B1+P1,home,0.25,0.35,74,0.14183127333232204,0.7027027027027027
B1,away,0.2,0.4,44,0.14127654908868859,0.5909090909090909
B1+D1+E0+P1,home,0.25,0.45,106,0.1410553193786221,0.6886792452830188
P1,draw+away,0.15,0.45,250,0.14094658245227845,0.536
P1,away,0.15,0.0,212,0.14063408139001563,0.5660377358490566
E0,home,0.2,0.0,105,0.14010831245593,0.5714285714285714
D1+E0+E1+N1,home,0.2,0.0,295,0.1398232221417698,0.5627118644067797
D1+E0+SP1,home,0.2,0.35,213,0.13952945547503603,0.568075117370892
D1+E0,home,0.25,0.45,32,0.13913877032560779,0.65625
B1+P1,all,0.2,0.4,413,0.1390983715101252,0.6222760290556901
B1,draw+away,0.2,0.4,86,0.13895936734753533,0.45348837209302323
D1+E0,home,0.2,0.4,147,0.1387026036871783,0.5986394557823129
B1+D1+E0+P1,draw+away,0.2,0.45,359,0.13859722613833428,0.45403899721448465
P1,draw+away,0.15,0.35,279,0.1385858706528873,0.5089605734767025
B1+D1+E0+E1,draw+away,0.25,0.35,165,0.13782285820694762,0.40606060606060607
B1+D1+E0+E1,draw+away,0.25,0.0,165,0.13782285820694762,0.40606060606060607
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,draw+away,0.25,0.45,397,0.13722086426672434,0.43828715365239296
D1+E0+E1+N1,home,0.2,0.35,282,0.1370689707428674,0.5815602836879432
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,draw+away,0.25,0.4,402,0.13683571465110497,0.43532338308457713
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,home,0.25,0.35,270,0.13641410976873064,0.6592592592592592
B1,draw,0.2,0.4,42,0.13552841059415774,0.30952380952380953
E0,home,0.2,0.4,98,0.13470844466107126,0.6020408163265306
D1+E0+SP1,draw,0.2,0.45,146,0.13366478383327857,0.3150684931506849
B1+P1,all,0.2,0.35,423,0.13342927888159084,0.6099290780141844
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,home,0.25,0.0,272,0.13338844124635166,0.6544117647058824
D1+E0+E1,home,0.2,0.4,212,0.13305213632649157,0.6179245283018868
P1,away,0.15,0.4,200,0.13281727522305042,0.585
